date,media,article_id,category,subcategory,page_views
20260815,Digmedia,310665,3年生,Internship,1
20260815,Digmedia,310666,志望動機,志望動機,1
20260815,Digmedia,310668,3年生,Internship,6
20260815,Digmedia,310676,ES,es挑戦したこと,2
20260815,Digmedia,310681,ES,es,1
20260815,Digmedia,310690,ES,gakuchika,1
20260815,Digmedia,310691,ES,gakuchika,1
20260815,Digmedia,310694,自己PR,pr,3
20260815,Digmedia,310695,自己PR,pr,1
20260815,Digmedia,310702,ES,gakuchika,1
20260815,Digmedia,310719,テスト,test,1
20260815,Digmedia,310720,テスト,test,1
20260815,Digmedia,310724,自己PR,pr,1
20260815,Digmedia,310727,テスト,test,1
20260815,Digmedia,310743,自己PR,pr,1
20260815,Digmedia,310750,志望動機,IT,1
20260815,Digmedia,310782,自己PR,pr,1
20260815,Digmedia,310783,ES,ガクチカ添削,5
20260815,Digmedia,310784,ES,gakuchika,3
20260815,Digmedia,310786,ES,gakuchika,2
20260815,Digmedia,310800,面接,軸（業界）,2
20260815,Digmedia,310801,面接,軸（業界）,1
20260815,Digmedia,310810,面接,軸（業界）,2
